,time,Nederbördsmängd
563,2020-02-09:12,0.0
564,2020-02-09:13,0.0
565,2020-02-09:14,0.0
566,2020-02-09:15,0.0
567,2020-02-09:16,0.2
568,2020-02-09:17,0.3
569,2020-02-09:18,0.3
570,2020-02-09:19,0.0
571,2020-02-09:20,0.6
572,2020-02-09:21,0.1
573,2020-02-09:22,0.3
574,2020-02-09:23,0.0
575,2020-02-10:00,0.0
576,2020-02-10:01,0.0
577,2020-02-10:02,0.0
578,2020-02-10:03,0.0
579,2020-02-10:04,0.0
580,2020-02-10:05,0.3
581,2020-02-10:06,0.2
582,2020-02-10:07,0.0
583,2020-02-10:08,0.0
584,2020-02-10:09,0.0
585,2020-02-10:10,0.0
586,2020-02-10:11,0.0
587,2020-02-10:12,0.0
588,2020-02-10:13,0.1
589,2020-02-10:14,0.2
590,2020-02-10:15,0.0
591,2020-02-10:16,0.0
592,2020-02-10:17,0.0
593,2020-02-10:18,0.0
594,2020-02-10:19,0.0
595,2020-02-10:20,0.0
596,2020-02-10:21,0.0
597,2020-02-10:22,0.0
598,2020-02-10:23,0.0
599,2020-02-11:00,0.0
600,2020-02-11:01,0.0
601,2020-02-11:02,0.0
602,2020-02-11:03,0.1
603,2020-02-11:04,0.0
604,2020-02-11:05,0.0
605,2020-02-11:06,0.0
606,2020-02-11:07,0.0
607,2020-02-11:08,0.0
608,2020-02-11:09,0.0
609,2020-02-11:10,0.0
610,2020-02-11:11,0.0
611,2020-02-11:12,0.0
612,2020-02-11:13,0.0
613,2020-02-11:14,0.0
614,2020-02-11:15,0.0
615,2020-02-11:16,0.1
616,2020-02-11:17,0.0
617,2020-02-11:18,0.0
618,2020-02-11:19,0.0
619,2020-02-11:20,0.0
620,2020-02-11:21,0.0
621,2020-02-11:22,0.1
622,2020-02-11:23,0.0
623,2020-02-12:00,0.0
624,2020-02-12:01,0.0
625,2020-02-12:02,0.0
626,2020-02-12:03,0.0
627,2020-02-12:04,0.0
628,2020-02-12:05,0.0
629,2020-02-12:06,0.0
630,2020-02-12:07,0.0
631,2020-02-12:08,0.0
632,2020-02-12:09,0.0
633,2020-02-12:10,0.0
634,2020-02-12:11,0.0
635,2020-02-12:12,0.0
636,2020-02-12:13,0.0
637,2020-02-12:14,0.0
638,2020-02-12:15,0.0
639,2020-02-12:16,0.0
640,2020-02-12:17,0.0
641,2020-02-12:18,0.0
642,2020-02-12:19,0.0
643,2020-02-12:20,0.0
644,2020-02-12:21,0.0
645,2020-02-12:22,0.0
